folder,mean_green,mean_blue,mean_red,green_over_blue,red_over_blue,mask_fraction,experiment
CH1D2_01,2.5375986,52.99953,28.03051,0.047879644,0.5288822,0.05069299768518518,CH1D2
CH1D2_02,2.3374794,46.74281,26.967934,0.05000725,0.5769429,0.06513744212962963,CH1D2
CH1D2_03,3.304944,60.41687,27.990952,0.054702338,0.46329695,0.04237847222222222,CH1D2
CH1D3_01,1.2907703,49.223225,17.097288,0.02622279,0.3473419,0.015165653935185186,CH1D3
CH1D3_02,0.934753,30.985073,12.320888,0.03016785,0.39763945,0.026155598958333335,CH1D3
CH1D3_03,1.4714388,37.190006,10.110173,0.039565437,0.2718519,0.021823640046296295,CH1D3
CH2D1_01,1.4099841,59.178497,23.437891,0.023825953,0.39605418,0.03262333622685185,CH2D1
CH2D1_02,1.9073038,60.487972,43.952084,0.031531952,0.7266252,0.04043655960648148,CH2D1
CH2D1_03,1.4941002,53.12962,47.864136,0.028121794,0.9008936,0.03359519675925926,CH2D1
CH2D1_04,1.0628203,19.675909,2.5980012,0.054016326,0.13203971,0.05381365740740741,CH2D1
CH2D1_05,1.5102499,41.134758,17.34243,0.036714688,0.4216004,0.033228443287037036,CH2D1
CH2D1_06,0.9361249,20.164627,2.903072,0.046424113,0.14396855,0.05487485532407407,CH2D1
CH2D2_01,1.5463616,52.28934,20.29507,0.02957317,0.38813016,0.024652777777777777,CH2D2
CH2D2_03,1.3600485,61.12834,28.850288,0.022249067,0.47196254,0.02619755497685185,CH2D2
CH2D2_04,1.7247779,70.47034,41.747803,0.024475234,0.5924167,0.04739438657407408,CH2D2
CH3D1_01,1.1056017,6.3792076,2.7194743,0.17331332,0.42630285,0.0795580150462963,CH3D1
CH3D1_02,1.4130746,19.255072,33.20463,0.07338714,1.7244616,0.05658998842592593,CH3D1
CH3D1_03,1.3031203,21.016613,35.148125,0.062004294,1.6723973,0.07395073784722223,CH3D1
CH3D1_04,1.1576545,9.300382,0.5892961,0.12447387,0.06336257,0.06844184027777778,CH3D1
CH3D1_05,1.4877024,13.565677,7.865858,0.10966665,0.5798353,0.04473922164351852,CH3D1
CH3D1_06,1.1375915,8.193294,9.4864855,0.13884422,1.1578354,0.111533203125,CH3D1
CH3D2_01,3.264177,37.832996,15.513658,0.08627858,0.41005626,0.03947808159722222,CH3D2
CH3D2_02,1.5139523,19.312899,4.0648556,0.07839073,0.21047361,0.05273654513888889,CH3D2
CH3D2_03,1.5076035,43.399876,14.151158,0.03473751,0.3260645,0.019138454861111112,CH3D2
CH3D2_04,2.878296,42.260292,20.04371,0.06810875,0.47429183,0.03592809606481481,CH3D2
CH3D2_05,1.7186401,39.439682,13.402922,0.04357642,0.3398334,0.036574797453703706,CH3D2
CH3D3_01,1.0880792,47.141296,15.430048,0.023081232,0.32731488,0.02106589988425926,CH3D3
CH3D3_02,1.0991917,9.311834,0.13291223,0.11804244,0.014273475,0.05159252025462963,CH3D3
CH3D3_03,1.2288488,60.467304,16.652258,0.020322533,0.27539277,0.031930338541666665,CH3D3
CH4D1_01,1.1492593,28.754854,6.8544955,0.03996749,0.23837699,0.061866681134259256,CH4D1
CH4D1_02,1.3261975,22.947304,7.24691,0.057793174,0.3158066,0.04997721354166667,CH4D1
CH4D1_03,2.015163,42.573296,42.3544,0.047333967,0.9948584,0.03217845775462963,CH4D1
CH4D1_04,1.0698795,14.791475,1.7309493,0.07233082,0.11702344,0.0351978443287037,CH4D1
CH4D2_01,2.3857276,47.59247,34.045944,0.05012826,0.7153641,0.049364872685185184,CH4D2
CH4D2_02,1.3181529,52.617287,19.55398,0.025051707,0.37162653,0.010959924768518519,CH4D2
CH4D2_03,2.55969,54.320053,34.51686,0.047122378,0.635435,0.0375,CH4D2
CH4D2_04,1.1417785,17.25095,3.8760657,0.06618641,0.22468708,0.05549045138888889,CH4D2
CH4D3_01,1.6933119,45.757267,31.228682,0.037006404,0.6824857,0.0344921875,CH4D3
CH4D3_02,1.5893515,54.196255,35.41897,0.029325856,0.6535317,0.03852900752314815,CH4D3
CH4D3_03,2.761458,42.566372,18.97857,0.064874165,0.44585833,0.052353153935185186,CH4D3
CH4D3_04,1.5007696,55.193676,35.199684,0.02719097,0.6377485,0.059454210069444444,CH4D3
CH4D3_05,1.1027768,59.010025,18.136902,0.018687956,0.3073529,0.017879774305555554,CH4D3
CH5D1_01,1.2891914,13.072022,0.19887428,0.09862218,0.0152137345,0.04583875868055556,CH5D1
CH5D1_02,1.3944283,13.528839,0.19500814,0.103070796,0.0144142555,0.04074435763888889,CH5D1
CH5D1_03,0.83945704,2.893048,0.07039475,0.29016352,0.024332382,0.5307389322916667,CH5D1
