folder,mean_blue,mean_red,red_over_blue,blue_over_red,mask_fraction,experiment
GAS50 PBMC 1.1,21.701874,25.033836,1.1535335,0.86690164,0.002373046875,GAS50 PBMC 1.1
GAS50 PBMC 1.2,30.525759,34.9203,1.1439617,0.8741551,0.0024641927083333334,GAS50 PBMC 1.1
GAS50 PBMC 1.3,27.300175,29.550318,1.0824223,0.9238539,0.00373046875,GAS50 PBMC 1.1
GAS50 PBMC 2.1,27.1187,38.279137,1.4115403,0.70844597,0.002001953125,GAS50 PBMC 1.1
GAS50 PBMC 2.2,26.081938,33.80769,1.2962108,0.7714794,0.0019466145833333334,GAS50 PBMC 1.1
GAS50 PBMC 2.3,24.475464,22.85185,0.9336636,1.0710496,0.00234375,GAS50 PBMC 1.1
GAS50 PBMC 3.1,23.96491,35.71162,1.4901628,0.6710676,0.001979166666666667,GAS50 PBMC 1.1
GAS50 PBMC 3.2,24.433289,25.352396,1.037617,0.9637467,0.002333984375,GAS50 PBMC 1.1
GAS50 PBMC 3.3,23.714043,27.50423,1.1598288,0.8621962,0.0032063802083333332,GAS50 PBMC 1.1
IFNg Chip 5_1.1,28.922813,34.298424,1.1858605,0.84326947,0.00220703125,GAS50 PBMC 1.1
IFNg Chip 5_1.2,28.1348,28.259972,1.004449,0.9955707,0.0023665364583333333,GAS50 PBMC 1.1
IFNg Chip 5_1.3,25.595728,32.59829,1.2735832,0.78518623,0.0025390625,GAS50 PBMC 1.1
IFNg Chip 5_2.1,31.395363,34.946064,1.1130964,0.8983948,0.00201171875,GAS50 PBMC 1.1
IFNg Chip 5_2.2,26.916904,32.49904,1.207384,0.82823694,0.0022591145833333335,GAS50 PBMC 1.1
IFNg Chip 5_2.3,26.837349,25.063335,0.9338976,1.0707812,0.003649088541666667,GAS50 PBMC 1.1
IFNg Chip 5_3.1,23.723131,22.718847,0.95766646,1.0442048,0.0027864583333333335,GAS50 PBMC 1.1
IFNg Chip 5_3.2,30.487896,29.312336,0.96144176,1.0401046,0.003720703125,GAS50 PBMC 1.1
IFNg Chip 5_3.3,26.188524,26.969603,1.0298252,0.9710386,0.0031770833333333334,GAS50 PBMC 1.1
IFNg Chip 6_1.1,24.540983,21.120218,0.8606101,1.1619663,0.0013899739583333333,GAS50 PBMC 1.1
IFNg Chip 6_1.2,26.71171,19.781532,0.7405566,1.3503357,0.0019270833333333334,GAS50 PBMC 1.1
IFNg Chip 6_1.3,24.776474,23.920755,0.96546245,1.035773,0.0030533854166666665,GAS50 PBMC 1.1
IFNg Chip 6_2.1,27.670141,27.598959,0.99742746,1.0025792,0.00125,GAS50 PBMC 1.1
IFNg Chip 6_2.3,24.754387,21.8846,0.88406956,1.1311327,0.002783203125,GAS50 PBMC 1.1
IFNg Chip 6_3,26.03815,18.154913,0.6972428,1.4342207,0.0028157552083333333,IFNg Chip 6
IFNg Chip 6_3.1,20.352848,25.999203,1.2774233,0.7828258,0.002724609375,GAS50 PBMC 1.1
IFNg Chip 6_3.2,23.75479,29.332909,1.2348208,0.80983406,0.002548828125,GAS50 PBMC 1.1
IFNg Chip 6_3.3,21.649935,36.341484,1.6785955,0.59573615,0.002529296875,GAS50 PBMC 1.1
IFNg Chip 7_1.1,20.032862,22.485374,1.1224245,0.8909285,0.0030045572916666667,GAS50 PBMC 1.1
IFNg Chip 7_1.2,25.261578,30.927538,1.2242917,0.81679887,0.0030696614583333335,GAS50 PBMC 1.1
IFNg Chip 7_1.3,20.210367,27.75621,1.3733649,0.72813857,0.0025325520833333333,GAS50 PBMC 1.1
IFNg Chip 7_2.1,19.697414,23.981028,1.2174709,0.8213749,0.0033170572916666665,GAS50 PBMC 1.1
IFNg Chip 7_2.2,23.32353,40.49587,1.7362667,0.57594836,0.004205729166666667,GAS50 PBMC 1.1
IFNg Chip 7_2.3,17.944212,22.743025,1.2674296,0.7889985,0.0031119791666666665,GAS50 PBMC 1.1
IFNg Chip 7_3.1,20.424496,15.364422,0.75225466,1.3293371,0.004641927083333333,GAS50 PBMC 1.1
IFNg Chip 7_3.2,17.314465,16.796995,0.97011346,1.0308073,0.00310546875,GAS50 PBMC 1.1
IFNg Chip 7_3.3,20.364342,19.995693,0.98189735,1.0184364,0.003779296875,GAS50 PBMC 1.1
IFNg Chip 8_1.1,20.887024,16.663044,0.79777014,1.2534939,0.0032942708333333335,GAS50 PBMC 1.1
IFNg Chip 8_1.2,22.305414,25.075417,1.1241852,0.88953316,0.0026041666666666665,GAS50 PBMC 1.1
IFNg Chip 8_1.3,20.794796,17.735735,0.85289294,1.1724801,0.00216796875,GAS50 PBMC 1.1
IFNg Chip 8_2.1,23.183178,16.495342,0.71152204,1.4054378,0.0038444010416666665,GAS50 PBMC 1.1
IFNg Chip 8_2.2,20.556522,13.548696,0.65909475,1.5172325,0.0037434895833333335,GAS50 PBMC 1.1
IFNg Chip 8_2.3,19.986912,14.526913,0.7268213,1.375854,0.00439453125,GAS50 PBMC 1.1
IFNg Chip 8_3.1,18.442986,17.097622,0.92705286,1.0786872,0.0039680989583333335,GAS50 PBMC 1.1
IFNg Chip 8_3.2,18.113974,20.940535,1.1560432,0.8650196,0.0032845052083333333,GAS50 PBMC 1.1
IFNg Chip 8_3.3,19.318592,21.613432,1.1187892,0.89382344,0.0026497395833333334,GAS50 PBMC 1.1
PBMC only 1.1,18.840061,30.43064,1.6152091,0.6191149,0.0020963541666666665,GAS50 PBMC 1.1
PBMC only 1.2,17.812109,30.095238,1.6895943,0.591858,0.002939453125,GAS50 PBMC 1.1
PBMC only 1.3,19.823198,36.821907,1.8575159,0.5383534,0.0025162760416666667,GAS50 PBMC 1.1
PBMC only 2.1,21.702991,21.32204,0.9824471,1.0178665,0.0035546875,GAS50 PBMC 1.1
PBMC only 2.2,20.042011,21.021202,1.048857,0.9534189,0.002763671875,GAS50 PBMC 1.1
PBMC only 2.3,16.332644,19.727053,1.2078297,0.8279313,0.00314453125,GAS50 PBMC 1.1
PBMC only 3.1,18.151655,13.228102,0.7287546,1.3722041,0.003505859375,GAS50 PBMC 1.1
PBMC only 3.2,18.650768,17.640835,0.9458503,1.0572498,0.002184244791666667,GAS50 PBMC 1.1
PBMC only 3.3,21.598356,27.814528,1.2878076,0.7765135,0.002509765625,GAS50 PBMC 1.1
PDAC_1,20.07374,36.867573,1.8366071,0.5444823,0.0014420572916666666,PDAC
PDAC_2,19.371622,32.374626,1.6712399,0.59835815,0.0014453125,PDAC
PDAC_3,21.645638,39.340492,1.817479,0.5502127,0.0024251302083333334,PDAC
