,t,channel,roi_name,mean,cell_count
0,0,0,roi_bac,91.44256,5351
1,0,0,roi_dic,116.81995,3173
2,0,0,roi_air,94.12132,1
3,0,1,roi_bac,68.24556,1
4,0,1,roi_dic,70.01404,1896
5,0,1,roi_air,68.49831,0
6,1,0,roi_bac,91.87265,5331
7,1,0,roi_dic,113.45504,4313
8,1,0,roi_air,94.101776,1
9,1,1,roi_bac,68.22114,1
10,1,1,roi_dic,69.97832,1947
11,1,1,roi_air,68.476074,0
12,2,0,roi_bac,92.241875,5462
13,2,0,roi_dic,112.38841,4985
14,2,0,roi_air,94.26195,1
15,2,1,roi_bac,68.23591,1
16,2,1,roi_dic,69.956,2012
17,2,1,roi_air,68.46459,0
18,3,0,roi_bac,92.20242,5485
19,3,0,roi_dic,111.276,5753
20,3,0,roi_air,94.120384,1
21,3,1,roi_bac,68.21709,1
22,3,1,roi_dic,69.94415,2039
23,3,1,roi_air,68.43702,0
24,4,0,roi_bac,92.3646,5421
25,4,0,roi_dic,110.87398,6111
26,4,0,roi_air,94.261536,1
27,4,1,roi_bac,68.21481,1
28,4,1,roi_dic,69.96016,1997
29,4,1,roi_air,68.48433,0
30,5,0,roi_bac,92.24463,5373
31,5,0,roi_dic,110.012985,6538
32,5,0,roi_air,94.03533,1
33,5,1,roi_bac,68.19878,1
34,5,1,roi_dic,69.92869,1975
35,5,1,roi_air,68.451035,0
36,6,0,roi_bac,92.62804,5329
37,6,0,roi_dic,110.02608,6779
38,6,0,roi_air,94.531,1
39,6,1,roi_bac,68.18792,1
40,6,1,roi_dic,69.93387,2106
41,6,1,roi_air,68.45116,0
42,7,0,roi_bac,92.51932,5371
43,7,0,roi_dic,109.23527,7026
44,7,0,roi_air,94.36716,1
45,7,1,roi_bac,68.176186,1
46,7,1,roi_dic,69.89938,2014
47,7,1,roi_air,68.436874,0
48,8,0,roi_bac,92.600525,5243
49,8,0,roi_dic,108.907906,7132
50,8,0,roi_air,94.471924,1
51,8,1,roi_bac,68.20094,1
52,8,1,roi_dic,69.94707,2058
53,8,1,roi_air,68.45784,1
54,9,0,roi_bac,92.58015,5272
55,9,0,roi_dic,108.115425,7371
56,9,0,roi_air,94.40984,1
57,9,1,roi_bac,68.16864,1
58,9,1,roi_dic,69.89743,2140
59,9,1,roi_air,68.43898,0
60,10,0,roi_bac,92.69899,5196
61,10,0,roi_dic,107.93038,7374
62,10,0,roi_air,94.568405,1
63,10,1,roi_bac,68.17841,1
64,10,1,roi_dic,69.92661,2218
65,10,1,roi_air,68.45115,1
