,t,channel,roi_name,mean,cell_count
0,0,0,roi_bac,140.4028,70
1,0,0,roi_dic,123.37163,1612
2,0,0,roi_air,107.01456,0
3,0,1,roi_bac,75.63369,1
4,0,1,roi_dic,82.98702,1516
5,0,1,roi_air,75.81743,0
6,1,0,roi_bac,141.09181,78
7,1,0,roi_dic,118.04028,1700
8,1,0,roi_air,105.50783,1
9,1,1,roi_bac,75.62762,1
10,1,1,roi_dic,82.89364,1589
11,1,1,roi_air,75.77554,0
12,2,0,roi_bac,141.05847,109
13,2,0,roi_dic,113.07598,1682
14,2,0,roi_air,104.517975,0
15,2,1,roi_bac,75.60219,1
16,2,1,roi_dic,82.62424,1565
17,2,1,roi_air,75.718666,0
18,3,0,roi_bac,140.80911,100
19,3,0,roi_dic,108.37469,1688
20,3,0,roi_air,103.53645,1
21,3,1,roi_bac,75.63523,1
22,3,1,roi_dic,82.51454,1585
23,3,1,roi_air,75.76706,0
24,4,0,roi_bac,140.27629,134
25,4,0,roi_dic,104.18765,1723
26,4,0,roi_air,102.540955,0
27,4,1,roi_bac,75.60315,1
28,4,1,roi_dic,82.28602,1529
29,4,1,roi_air,75.70028,0
30,5,0,roi_bac,139.51968,156
31,5,0,roi_dic,100.372734,1728
32,5,0,roi_air,101.524376,1
33,5,1,roi_bac,75.589745,1
34,5,1,roi_dic,82.08161,1568
35,5,1,roi_air,75.60798,0
36,6,0,roi_bac,139.01195,184
37,6,0,roi_dic,97.617676,1701
38,6,0,roi_air,100.851456,1
39,6,1,roi_bac,75.6011,1
40,6,1,roi_dic,81.9967,1567
41,6,1,roi_air,75.65342,0
42,7,0,roi_bac,138.06932,209
43,7,0,roi_dic,95.11516,1634
44,7,0,roi_air,99.99092,0
45,7,1,roi_bac,75.55884,1
46,7,1,roi_dic,81.81899,1523
47,7,1,roi_air,75.568756,0
48,8,0,roi_bac,137.00948,216
49,8,0,roi_dic,93.232155,1523
50,8,0,roi_air,99.10672,1
51,8,1,roi_bac,75.55417,1
52,8,1,roi_dic,81.80211,1544
53,8,1,roi_air,75.56546,0
54,9,0,roi_bac,135.1921,269
55,9,0,roi_dic,91.363174,1548
56,9,0,roi_air,97.62159,1
57,9,1,roi_bac,75.530594,1
58,9,1,roi_dic,81.71855,1598
59,9,1,roi_air,75.56049,0
60,10,0,roi_bac,133.69962,302
61,10,0,roi_dic,90.07857,1367
62,10,0,roi_air,96.58287,1
63,10,1,roi_bac,75.54887,1
64,10,1,roi_dic,81.74007,1646
65,10,1,roi_air,75.58938,0
66,11,0,roi_bac,131.32535,331
67,11,0,roi_dic,88.997505,1255
68,11,0,roi_air,95.646065,1
69,11,1,roi_bac,75.54669,1
70,11,1,roi_dic,81.6615,1682
71,11,1,roi_air,75.51835,0
72,12,0,roi_bac,129.40057,392
73,12,0,roi_dic,88.019646,1130
74,12,0,roi_air,94.86204,1
75,12,1,roi_bac,75.52138,1
76,12,1,roi_dic,81.63464,1646
77,12,1,roi_air,75.52314,0
78,13,0,roi_bac,127.45364,412
79,13,0,roi_dic,87.11659,1017
80,13,0,roi_air,94.01655,1
81,13,1,roi_bac,75.495705,1
82,13,1,roi_dic,81.60164,1671
83,13,1,roi_air,75.52425,0
